AÑO,TRIMESTRE,PROVEEDOR,LINEAS EN SERVICIO,LINEAS PREPAGO,LINEAS POSPAGO,LINEAS ACTIVADAS,LINEAS RETIRADAS
2021,1,AVANTEL S.A.S,1300395,514014,333559,286012,786381
2021,1,ALMACENES EXITO INVERSIONES S.A.S.,1381616,0,176387,0,1381616
2021,2,SETROC MOBILE GROUP SAS,40780,0,12061,12,40780
2021,2,ALMACENES EXITO INVERSIONES S.A.S.,1135163,0,153547,400000,1135163
2022,1,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,238221,130376,55981,53720,107845
2022,2,AVANTEL S.A.S,273774,10330,3933,52616,263444
2022,2,LOGISTICA FLASH COLOMBIA S.A.S,165206,0,3806,8487,165206
2022,2,SUMA MOVIL S.A.S.,25159,0,9771,8517,25159
2022,2,COLOMBIA MOVIL  S.A ESP,14711497,3310818,3716455,3716451,11400679
2022,2,SETROC MOBILE GROUP SAS,20536,0,706,28279,20536
2022,2,LOV TELECOMUNICACIONES SAS,6652,0,4038,86,6652
2022,2,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,19738064,5204026,2010401,1138608,14534038
2022,2,PARTNERS TELECOM COLOMBIA SAS,2233790,948927,1010363,706600,1284863
2022,2,ALMACENES EXITO INVERSIONES S.A.S.,1419121,0,168104,0,1419121
2022,2,COMUNICACION CELULAR S A COMCEL S A,36321883,9319713,4914383,4598165,27002170
2022,2,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,230267,122133,42783,50737,108134
2022,2,VIRGIN MOBILE COLOMBIA S.A.S.,2733347,0,146345,133681,2733347
2022,3,SUMA MOVIL S.A.S.,26528,0,8037,6668,26528
2022,3,SETROC MOBILE GROUP SAS,20080,0,7,463,20080
2022,3,VIRGIN MOBILE COLOMBIA S.A.S.,2781862,0,144812,96297,2781862
2022,3,LOV TELECOMUNICACIONES SAS,7009,0,564,207,7009
2022,3,LOGISTICA FLASH COLOMBIA S.A.S,159219,0,4490,10477,159219
2022,3,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,248771,132749,57887,39383,116022
2022,3,ALMACENES EXITO INVERSIONES S.A.S.,1425973,0,255262,248410,1425973
2022,3,COMUNICACION CELULAR S A COMCEL S A,36843718,9534908,5130771,4420403,27308810
2022,3,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,20008969,5399631,2081786,1810880,14609338
2022,3,PARTNERS TELECOM COLOMBIA SAS,2674536,1095635,1150806,979692,1578901
2022,3,MERCANET SAS,0,0,0,0,0
2022,3,COLOMBIA MOVIL  S.A ESP,14851704,3214132,4060195,3919988,11637572
2022,4,COMUNICACION CELULAR S A COMCEL S A,37549954,9695106,4897001,4470903,27854848
2022,4,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,20527789,5439450,2303177,1784357,15088339
2022,4,PARTNERS TELECOM COLOMBIA SAS,3001004,1339978,1454008,1127540,1661026
2022,4,COLOMBIA MOVIL  S.A ESP,15014942,3263650,3906396,3743158,11751292
2022,4,SETROC MOBILE GROUP SAS,16173,0,0,3907,16173
2022,4,VIRGIN MOBILE COLOMBIA S.A.S.,2795676,0,123355,109541,2795676
2022,4,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,261522,139027,44501,31750,122495
2022,4,LOGISTICA FLASH COLOMBIA S.A.S,149587,0,3155,12787,149587
2022,4,LOV TELECOMUNICACIONES SAS,8067,0,1138,80,8067
2022,4,ALMACENES EXITO INVERSIONES S.A.S.,1458616,0,287445,254802,1458616
2022,4,SUMA MOVIL S.A.S.,27110,0,5378,4796,27110
2023,3,COMUNICACION CELULAR S A COMCEL S A,38701128,10134039,4756796,4918874,28567089
2023,3,LOGISTICA FLASH COLOMBIA S.A.S,129438,0,4219,8756,129438
2021,4,MERCANET SAS,0,0,0,0,0
2023,3,ALMACENES EXITO INVERSIONES S.A.S.,1887890,0,194333,23516,1887890
2023,1,LIWA SAS ESP,2868,0,1190,47,2868
2023,3,LOV TELECOMUNICACIONES SAS,10758,0,748,1061,10758
2023,3,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,21384128,5514447,1935741,1628630,15869681
2023,2,INVERSIONES AMAPA S.A.S.,0,0,0,0,0
2022,3,LIWA SAS ESP,587,0,148,44,587
2023,3,PARTNERS TELECOM COLOMBIA SAS,4676717,1888009,1909233,872787,2788708
2023,3,COLOMBIA MOVIL  S.A ESP,15029453,3754058,3531833,3670334,11275395
2022,2,MERCANET SAS,0,0,0,0,0
2023,3,LIWA SAS ESP,4447,0,909,80,4447
2022,1,MERCANET SAS,0,0,0,0,0
2022,2,LIWA SAS ESP,483,0,444,25,483
2023,3,SUMA MOVIL S.A.S.,37307,0,9151,3873,37307
2022,3,AVANTEL S.A.S,269632,9127,807,4949,260505
2023,3,VIRGIN MOBILE COLOMBIA S.A.S.,2831690,0,138112,123100,2831690
2021,2,LOGISTICA FLASH COLOMBIA S.A.S,384886,0,13016,42854,384886
2017,2,AVANTEL S.A.S,1422458,358443,432028,333797,1064015
2018,4,SUMA MOVIL S.A.S.,2460,0,1283,23,2460
2018,2,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,602273,250744,129249,114932,351529
2016,4,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,689811,267295,204263,77113,422516
2019,1,COLOMBIA MOVIL  S.A ESP,11555856,1729695,2264851,2291665,9826161
2020,3,COLOMBIA MOVIL  S.A ESP,11495643,1740206,2330071,1621456,9755437
2020,4,MERCANET SAS,0,0,0,0,0
2020,3,VIRGIN MOBILE COLOMBIA S.A.S.,2744831,0,157315,227887,2744831
2019,4,MERCANET SAS,0,0,0,0,0
2018,2,MERCANET SAS,0,0,0,0,0
2020,4,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,16297941,4362606,1817952,1148821,11935335
2016,4,UNE EPM TELECOMUNICACIONES S.A.,91782,91782,0,22912,0
2019,4,AVANTEL S.A.S,2303177,597276,186771,259678,1705901
2020,1,COLOMBIA MOVIL  S.A ESP,11808184,1823564,1966637,1800027,9984620
2019,2,MERCANET SAS,0,0,0,0,0
2019,4,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,389297,160575,71449,97292,228722
2018,1,COMUNICACION CELULAR S A COMCEL S A,29401088,6683865,4288698,4243209,22717223
2018,3,ALMACENES EXITO INVERSIONES S.A.S.,1694567,0,180272,112404,1694567
2016,2,ALMACENES EXITO INVERSIONES S.A.S.,947183,0,124273,5938,947183
2017,3,COMUNICACION CELULAR S A COMCEL S A,29112362,6604164,4407538,4687703,22508198
2017,4,UFF MOVIL SAS,97634,0,3271,9089,97634
2020,2,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,351479,169575,46249,87533,181904
2016,3,COLOMBIA MOVIL  S.A ESP,10966060,1411884,1834448,1323483,9554176
2017,3,ALMACENES EXITO INVERSIONES S.A.S.,1120902,0,204063,14611,1120902
2018,3,MERCANET SAS,0,0,0,0,0
2018,3,VIRGIN MOBILE COLOMBIA S.A.S.,2698194,0,346388,405486,2698194
2016,1,UNE EPM TELECOMUNICACIONES S.A.,266110,149241,0,31680,116869
2020,2,ALMACENES EXITO INVERSIONES S.A.S.,1756948,0,150001,0,1756948
2015,4,UNE EPM TELECOMUNICACIONES S.A.,301229,184298,5,25633,116931
2019,3,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,415140,169586,79547,124926,245554
2020,4,COMUNICACION CELULAR S A COMCEL S A,33008762,7765177,5525671,4269386,25243585
2018,1,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,14716140,3712291,1634718,1465165,11003849
2015,4,COMUNICACION CELULAR S A COMCEL S A,28973124,5869203,4951437,4794238,23103921
2017,1,VIRGIN MOBILE COLOMBIA S.A.S.,2584768,0,362261,259072,2584768
2018,3,COMUNICACION CELULAR S A COMCEL S A,29232888,6886963,4531897,4287324,22345925
2018,2,ALMACENES EXITO INVERSIONES S.A.S.,1626699,0,221148,172475,1626699
2016,3,UFF MOVIL SAS,100834,0,19544,17853,100834
2016,3,UNE EPM TELECOMUNICACIONES S.A.,225376,120471,0,94,104905
2017,1,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,13507118,3628676,1592823,1182784,9878442
2017,3,MERCANET SAS,0,0,0,0,0
2017,1,AVANTEL S.A.S,1350719,357497,412296,209343,993222
2017,2,VIRGIN MOBILE COLOMBIA S.A.S.,2661621,0,363837,286984,2661621
2016,4,AVANTEL S.A.S,1205322,372797,350468,191219,832525
2020,3,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,327552,179405,62938,86865,148147
2019,3,ALMACENES EXITO INVERSIONES S.A.S.,1191630,0,192741,771427,1191630
2019,1,AVANTEL S.A.S,2286642,656614,310137,245113,1630028
2019,4,SUMA MOVIL S.A.S.,9321,0,5749,169,9321
2016,1,COMUNICACION CELULAR S A COMCEL S A,28339861,5938432,4364037,5401274,22401429
2016,4,COLOMBIA MOVIL  S.A ESP,10279203,1420423,1881410,1273231,8858780
2019,1,COMUNICACION CELULAR S A COMCEL S A,29887101,6996809,5000937,4200144,22890292
2020,4,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,323146,197712,115676,120082,125434
2020,3,SUMA MOVIL S.A.S.,14456,0,1524,126,14456
2016,3,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,13579826,3560843,1530075,1195614,10018983
2018,4,ALMACENES EXITO INVERSIONES S.A.S.,1661346,0,246038,279259,1661346
2020,4,AVANTEL S.A.S,1252848,478242,265096,402961,774606
2017,4,MERCANET SAS,0,0,0,0,0
2017,4,COMUNICACION CELULAR S A COMCEL S A,29352831,6688246,4810312,4767578,22664585
2017,3,UNE EPM TELECOMUNICACIONES S.A.,2751,2751,0,87111,0
2017,2,UNE EPM TELECOMUNICACIONES S.A.,89843,89843,0,1151,0
2020,1,ALMACENES EXITO INVERSIONES S.A.S.,1606947,0,172096,0,1606947
2020,2,VIRGIN MOBILE COLOMBIA S.A.S.,2815403,0,86336,244198,2815403
2019,2,COMUNICACION CELULAR S A COMCEL S A,30144119,7114931,5057716,3977924,23029188
2019,4,COMUNICACION CELULAR S A COMCEL S A,31104070,7350590,5349852,4342385,23753480
2019,3,VIRGIN MOBILE COLOMBIA S.A.S.,2800297,0,365200,343757,2800297
2019,4,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,16080371,4077225,1592561,1084210,12003146
2018,4,VIRGIN MOBILE COLOMBIA S.A.S.,2687737,0,355691,366148,2687737
2018,3,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,555006,231760,102501,149768,323246
2020,4,COLOMBIA MOVIL  S.A ESP,12503286,1784516,3410954,2149166,10718770
2016,2,COLOMBIA MOVIL  S.A ESP,11328233,1373826,1730628,1970567,9954407
2016,3,MERCANET SAS,0,0,0,0,0
2015,4,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,390171,192457,166197,48132,197714
2019,3,LOGISTICA FLASH COLOMBIA S.A.S,449477,0,48090,151658,449477
2016,3,AVANTEL S.A.S,1098763,390413,307212,159594,708350
2015,4,COLOMBIA MOVIL  S.A ESP,10914038,1491435,1935968,1431271,9422603
2019,4,VIRGIN MOBILE COLOMBIA S.A.S.,2986753,0,390324,203868,2986753
2018,2,UNE EPM TELECOMUNICACIONES S.A.,0,0,0,0,0
2016,2,AVANTEL S.A.S,977032,365297,275447,128816,611735
2020,2,SUMA MOVIL S.A.S.,13058,0,1520,192,13058
2017,1,COMUNICACION CELULAR S A COMCEL S A,29153144,6458774,4173878,4125455,22694370
2020,4,SETROC MOBILE GROUP SAS,12331,0,12423,92,12331
2019,4,LOGISTICA FLASH COLOMBIA S.A.S,333761,0,26666,142382,333761
2020,3,COMUNICACION CELULAR S A COMCEL S A,32023780,7563876,5466905,4873834,24459904
2018,2,VIRGIN MOBILE COLOMBIA S.A.S.,2757292,0,320593,383785,2757292
2020,1,LOGISTICA FLASH COLOMBIA S.A.S,291210,0,12600,55151,291210
2016,2,VIRGIN MOBILE COLOMBIA S.A.S.,2352617,0,371798,405839,2352617
2019,3,SUMA MOVIL S.A.S.,3741,0,248,61,3741
2019,2,COLOMBIA MOVIL  S.A ESP,11722206,1759088,2107399,1941049,9963118
2017,1,UFF MOVIL SAS,112514,0,14661,6932,112514
2019,2,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,16029072,3931388,1623406,1198278,12097684
2016,1,COLOMBIA MOVIL  S.A ESP,11039033,1418918,1628088,1462787,9620115
2017,3,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,582392,208550,108708,224044,373842
2020,4,ALMACENES EXITO INVERSIONES S.A.S.,1205229,0,203456,496670,1205229
2019,3,COMUNICACION CELULAR S A COMCEL S A,30576718,7249104,5042537,4585558,23327614
2017,4,VIRGIN MOBILE COLOMBIA S.A.S.,2803168,0,388156,344138,2803168
2018,1,SUMA MOVIL S.A.S.,409,0,409,0,409
2018,3,LOGISTICA FLASH COLOMBIA S.A.S,212636,0,212636,514,212636
2020,4,SUMA MOVIL S.A.S.,15393,0,1106,169,15393
2017,4,ALMACENES EXITO INVERSIONES S.A.S.,1357366,0,251441,14977,1357366
2016,1,VIRGIN MOBILE COLOMBIA S.A.S.,2410223,0,403016,252230,2410223
2018,4,LOGISTICA FLASH COLOMBIA S.A.S,555937,0,411125,67567,555937
2018,1,UFF MOVIL SAS,80638,0,3275,20271,80638
2016,2,UFF MOVIL SAS,99144,0,17533,58597,99144
2020,1,VIRGIN MOBILE COLOMBIA S.A.S.,2973265,0,218626,232114,2973265
2020,2,COLOMBIA MOVIL  S.A ESP,11037030,1707182,1452247,2223401,9329848
2020,1,COMUNICACION CELULAR S A COMCEL S A,31243664,7383758,4571558,4431439,23859906
2016,2,COMUNICACION CELULAR S A COMCEL S A,28259536,6082968,4162603,5306599,22176568
2020,2,"EMPRESA COLOMBIANA DE PROCESOS TECNOLOGICOS, TECNOLOGIA Y COMUNICACIONES S.A.",0,0,0,0,0
2019,1,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,15884252,3868966,1690889,1362733,12015286
2017,4,COLOMBIA MOVIL  S.A ESP,11441311,1563860,2453001,2331436,9877451
2016,2,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,490811,232506,133588,79275,258305
2019,2,AVANTEL S.A.S,2332396,661016,281642,235888,1671380
2016,1,UFF MOVIL SAS,140208,0,22592,72797,140208
2017,2,MERCANET SAS,0,0,0,0,0
2018,1,COLOMBIA MOVIL  S.A ESP,11563717,1593141,1941143,1802741,9970576
2017,2,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,697728,224094,98654,119499,473634
2019,2,SUMA MOVIL S.A.S.,3554,0,276,92,3554
2020,1,SUMA MOVIL S.A.S.,11730,0,2529,120,11730
2017,1,COLOMBIA MOVIL  S.A ESP,10414527,1412127,1711717,1753169,9002400
2017,2,COLOMBIA MOVIL  S.A ESP,10841282,1449286,1849978,2334655,9391996
2019,2,LOGISTICA FLASH COLOMBIA S.A.S,553045,0,78487,154653,553045
2018,2,AVANTEL S.A.S,2053260,591326,337978,300256,1461934
2016,4,UFF MOVIL SAS,104785,0,15658,11707,104785
2018,1,ALMACENES EXITO INVERSIONES S.A.S.,1578026,0,237509,16849,1578026
2018,4,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,486397,199351,73423,142032,287046
2018,3,AVANTEL S.A.S,2121034,613836,345178,277403,1507198
2020,1,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,15913964,4140576,1336893,1481078,11773388
2016,3,COMUNICACION CELULAR S A COMCEL S A,28488836,6223746,4093009,5037661,22265090
2018,2,COLOMBIA MOVIL  S.A ESP,11563259,1595868,2297973,2298428,9967391
2020,1,MERCANET SAS,0,0,0,0,0
2019,3,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,16059954,3995407,1558828,1248597,12064547
2019,1,SUMA MOVIL S.A.S.,3370,0,913,3,3370
2017,4,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,14590555,3732884,1659388,1544230,10857671
2019,3,MERCANET SAS,0,0,0,0,0
2020,3,ALMACENES EXITO INVERSIONES S.A.S.,1498443,0,141454,399959,1498443
2019,2,VIRGIN MOBILE COLOMBIA S.A.S.,2778854,0,395967,352495,2778854
2015,4,VIRGIN MOBILE COLOMBIA S.A.S.,2257434,0,440872,437473,2257434
2019,4,ALMACENES EXITO INVERSIONES S.A.S.,1434851,0,243221,0,1434851
2018,1,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,587956,238955,137110,142023,349001
2019,2,ALMACENES EXITO INVERSIONES S.A.S.,1770316,0,228038,0,1770316
2018,2,UFF MOVIL SAS,71115,0,1752,11275,71115
2018,2,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,15070660,3772300,1695587,1109562,11298360
2016,4,MERCANET SAS,0,0,0,0,0
2018,3,UNE EPM TELECOMUNICACIONES S.A.,0,0,0,0,0
2016,4,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,13725271,3588464,1608985,1137839,10136807
2017,1,UNE EPM TELECOMUNICACIONES S.A.,90994,90994,0,788,0
2018,2,COMUNICACION CELULAR S A COMCEL S A,29167782,6786534,4340999,4268723,22381248
2017,3,VIRGIN MOBILE COLOMBIA S.A.S.,2759150,0,374959,277430,2759150
2017,3,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,14129896,3728814,1608683,1556318,10401082
2017,4,AVANTEL S.A.S,1982424,480424,469121,306242,1502000
2018,1,MERCANET SAS,0,0,0,0,0
2015,4,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,12896444,3385539,1495584,1424887,9510905
2017,3,AVANTEL S.A.S,1819545,429231,440865,286636,1390314
2020,3,AVANTEL S.A.S,1390713,469411,162444,249192,921302
2017,1,MERCANET SAS,0,0,0,0,0
2018,1,VIRGIN MOBILE COLOMBIA S.A.S.,2820484,0,331773,314413,2820484
2020,2,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,15608215,4154633,1133304,2090983,11453582
2018,1,AVANTEL S.A.S,2015538,540711,376868,343754,1474827
2017,2,UFF MOVIL SAS,110586,0,17967,19895,110586
2018,4,AVANTEL S.A.S,2221618,640676,328503,227919,1580942
2017,1,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,718776,250670,143423,114458,468106
2017,4,UNE EPM TELECOMUNICACIONES S.A.,0,0,0,2751,0
2017,4,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,594725,217369,115402,103069,377356
2016,3,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,564585,254741,175155,87306,309844
2020,3,MERCANET SAS,0,0,0,0,0
2018,3,COLOMBIA MOVIL  S.A ESP,11621559,1612906,2497952,2392443,10008653
2017,1,ALMACENES EXITO INVERSIONES S.A.S.,981648,0,213299,171815,981648
2020,2,MERCANET SAS,0,0,0,0,0
2019,4,COLOMBIA MOVIL  S.A ESP,11641574,1837235,2613755,2215192,9804339
2016,4,VIRGIN MOBILE COLOMBIA S.A.S.,2481579,0,380560,296248,2481579
2020,4,LOGISTICA FLASH COLOMBIA S.A.S,220353,0,8716,33146,220353
2016,4,ALMACENES EXITO INVERSIONES S.A.S.,1153287,0,227477,209964,1153287
2018,4,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,15716216,3835482,2035908,1550269,11880734
2019,1,VIRGIN MOBILE COLOMBIA S.A.S.,2735382,0,391448,343803,2735382
2018,4,COMUNICACION CELULAR S A COMCEL S A,29680853,6936693,5254089,4661702,22744160
2018,3,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,15290583,3821303,1743034,1537593,11469280
2015,4,AVANTEL S.A.S,696917,325807,212451,63814,371110
2019,3,COLOMBIA MOVIL  S.A ESP,11243011,1780987,2116002,2595195,9462024
2020,2,LOGISTICA FLASH COLOMBIA S.A.S,272850,0,15536,33896,272850
2020,4,VIRGIN MOBILE COLOMBIA S.A.S.,2833281,0,267490,179040,2833281
